tokens	ner_tags
['david', 'guetta', ',', 'çok', 'afedersiniz', ',', 'madara', 'olmuş']	['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']
['Basim', 'çatliyoooooo']	['O', 'O']
['Kan', 'benim', 'damar', 'benim', '.']	['O', 'O', 'O', 'O', 'O']
"['I', ""'"", 'm', 'at', 'Mecidiyeköy', '(', 'İstanbul', ',', 'Türkiye', ')', 'w', '/', '122', 'others']"	['O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'B-LOCATION', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O']
"['#', 'BuMübarekCUMAGünü', 'Sadece', '#', 'Mısır', ""'"", 'daki', 'değil', 'tüm', 'İslam', 'aleminin', 'tüm', 'dünyanın', 'kurtuluşu', 'hedefindeyiz', 'biz', ',', 'bu', 'da', 'İttihadı', 'İslam', ""'"", 'la', 'olur']"	['O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['bizden', 'hızlısı', 'mezarda', 'diyenleri', 'eşşek', 'olarak', 'at', 'yarışlarında', 'hayal', 'ediyorum']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
[',', ',', 'Hayatta', 'hiçbirşey', 'çabasız', 'elde', 'edilmez', ',', 'en', 'kolay', 'şey', 'yemek', 'yemektir', 'onu', 'bile', 'çiğnemeden', 'yutamayız', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Seni', 'nasıl', 'sevdiğimi', 'görme', 'imkanın', 'olsaydı', 'dudakların', 'uçuklardı', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ne', 'istersen', '99', 'dan', 'birinde', 'saklı', '.', '#', 'EsmaülHüsna']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Yine', 'ayni', 'kisilere', 'Allah', ""'"", 'imdan', 'basarilarinin', 'daim', 'olmasini', ',', 'dualarim', 've', 'butun', 'gucumle', 'arkalarinda', 'oldugumu', '+']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Herkes', 'ölü', 'gibi', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O']
"['I', ""'"", 'm', 'at', 'Zeytinburnu', 'Tramvay', 'Durağı', '(', 'İstanbul', ',', 'Türkiye', ')']"	['O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'B-LOCATION', 'O', 'B-LOCATION', 'O']
['Kaderini', 'değiştiremiyorsan', 'tutumunu', 'değiştir', '.', '-', 'Çin', 'Atasözü']	['O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O']
['telefonum', 'utanmasa', 'şarjdayken', 'bile', 'şarjı', 'bitecek']	['O', 'O', 'O', 'O', 'O', 'O']
['Diyanetten', 'hutbe', '!', 'Zamanında', 'bebekler', 'doğduğunda', 'söylenen', 'Allahu', 'ekber', 'şimdi', 'insan', 'katlederken', 'söyleniyor', '!', 'Diyanet']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION']
['Hayırlısı', 'neyse', 'o', 'olsun', 'derler', 'ya', ':', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ahahaha', 'sabah', 'sabah', 'iyi', 'güldm', ':', 'DD', ':', 'D', ':']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Zorla', 'sevdiremem', 'ya']	['O', 'O', 'O']
"['Şimdiden', 'Üniversite', ""'"", 'ye', 'hazır', 'hissediyorum', 'kendimi', ':', 'D', 'Playstation', 'da', 'PES', 'keyfi', '(', 'bulaşık', 'keyfi', ')']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O']
['işimi', 'gerçekten', 'seviyorum', '.', 'ama', 'sistem', '(', '-', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Biraz', 'pes', 'atalım', '.']	['O', 'B-MISC', 'O', 'O']
['mutluluğun', 'taklidi']	['O', 'O']
['Gune', 'bas', 'agrisi', 'sinir', 'stresle', 'baslamak', '!']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
['Simsiyah', 'saçların', 'var', 'kahküllerini', 'sarı', 'ya', 'boyat', 'ne', 'zevksiz', 'insanlar', 'varyaa', ':', 'D', ':', 'D']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Tecavüze', 'uğrayan', 'minicik', 'çocukları', 'hamile', 'görmekten', 'utanmadınız', ',', 'sapıklarınızı', 'serbest', 'bıraktınız', '.', 'Bu', 'sizin', 'ayıbınız', '!', '#', 'direnhamile']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Saçmaladığın', 'insanla', 'mutlusundur']	['O', 'O', 'O']
['#', 'OZGURLUK', 'ICIN', 'Bazen', 'de', 'buz', 'gibi', 'suları', 'aşarken', 'donabileceğimizi', 'unutmamalıyız', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Hayatımda', 'istediğim', 'herşey', 'bir', 'bir', 'oluyor', 'sıra', 'atamalarda', ':', ')', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Dayımın', 'süprizleri', 'beni', 'öldürüyor', ':', ')', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
['Berkcani', 'cok', 'seviyorum', 'gunaydiin', 'Berkcan']	['O', 'O', 'O', 'O', 'B-PERSON']
['Her', 'dilde', ';', 'Barış', ',', 'Aşti', ',', 'Peace', ',', 'السلام', ',', 'Frieden', ',', 'Haştiye', ',', '平和', '.', '.', '.', 'Hasret', 'kaldık', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Kalbimi', 'çal', 'diye', 'kapısını', 'aralarken', 'ben', ',', 'sen', 'kapıyı', 'çalıp', 'kalbimi', 'açık', 'bıraktın', '.', 'Söyle', ',', 'neden', 'hoş', 'gelmedin', 'de', 'güle', 'güle', 'gittin', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['I', ""'"", 'm', 'at', 'Marmaris', 'Dental', 'Office', 'Asli', '-', 'Şevket', 'Cankurt']"	['O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'B-PERSON', 'O', 'B-PERSON', 'I-PERSON']
['#', 'direnhamile', 'biliyom', 'haşlanmış', '#', 'Mısır', 'kokusunu', 'aldın', '.', '.', 'bi', 'koşu', 'alıp', 'gelecem', ':', ')', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['omuzlarımı', 'Nükhet', 'Duru', 'gibi', 'sert', 'hareketlerle', 'oynatıp', ',', '""', 'yaşar', 'yuvada', 'kuş', 'gibi', 'sek', 'sek', 'sekerek', 'Borare', '""', 'şeklinde', 'sevineceğim', 'bişey', 'olsun', 'artık']"	['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Başı', 'kapalı', 'olanlara', 'elbette', 'saygımız', 'var', '.', 'Yeter', 'ki', 'sadece', 'edebinle', 'kapansın', ',', 'yobaz', 'olmasın', ',', 'aydın', 'olsun']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Bir', 'şeyler', 'yapmak', 'istiyorum', ',', 'demek', 'ki', 'bir', 'şeyler', 'bitti', ',', 'bitmek', 'üzere', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ve', 'yine', 'yeniden', '%', '1']	['O', 'O', 'O', 'O', 'O']
['Bazen', 'gitmek', 'gerek', 'nedeni', ',', 'niçini', ',', 'niyesi', 'belli', 'olmayan', 'bir', 'gidiş', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Sıla', 'seni', 'takmıyorum', ',', 'gör']	['B-PERSON', 'O', 'O', 'O', 'O']
['1071', 'de', 'Anadolunun', 'kapıları', 'sonuna', 'kadar', 'açılmış', 'ama', 'son', 'giren', 'kapıyı', 'örtmemiş', 'olacak', 'ki', 'ne', 'kadar', 'mal', ',', 'gerizekalı', 'varsa', 'içeriye', 'doluşmuş', 'Anadolu']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION']
['İÇİMDE', 'Bİ', 'HİS', 'VAR', 'BUGÜN', 'BENI', 'ARAYACAK', 'SANKİ', '.', '(', 'ARAMADI', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Kardeş', 'sevgisi', 'bir', 'başka', 'oluyor', ':', ')', ':', ')', ':', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Flört', 'ettiğim', 'kız', '“', 'ilişkimizin', 'adını', 'koyalım', 'mı', 'artık', '!', '?', '”', 'deyince', '“', 'Ethem', 'olsun', 'bari', '”', 'dedim', ';', '“', 'dedemin', 'adı', '”', '.', '.', 'kızıp', 'gitti', '.', 'bence', 'güzeldi', 'oysa', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Benfica', 've', 'Porto', 'transfer', 'dünyasının', 'en', 'uyanık', 'kulüpleri', '.', '.', 'Onların', 'oyuncularına', 'talip', 'olmak', 'bazen', 'insanı', 'çııldırtıyor', '.', '.']	['B-ORGANIZATION', 'O', 'B-ORGANIZATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ya', 'da', 'vazgeçtim', 'tvd', 'ye', 'başlıcam', '.', 'sss']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Diyecek', 'bişey', 'yok', '.', 'Hayırlı', 'olsun', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
['Nida', 'beni', 'öldürdü', 'ya', 'oyyy', 'nida', 'oyyy']	['B-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']
['Biri', 'bana', 'hamster', 'alsin', 'ama', 'gozleri', 'kirmizi', 'olmasin']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['hiç', 'dayanmana', 'gerek', 'yok', 'zaten', 'aklına', 'geleni', 'yaz', 'twitter', 'bunun', 'için', 'değilmi', ':', 'D']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION', 'O', 'O', 'O', 'O', 'O']
"['""', 'Mantık', 'ya', 'Resulallah', '!', '""']"	['O', 'O', 'O', 'O', 'O', 'O']
['bize', 'face', 'yeterdi', 'ama', 'devir', 'deştibeyler']	['O', 'B-ORGANIZATION', 'O', 'O', 'O', 'O']
['O', 'değilde', '6000', '.', 'tweetim', 'yaklaşıyo']	['O', 'O', 'O', 'O', 'O', 'O']
['2', '-', 'Fizyoterapistlere', 'hastalarımızı', 'direkt', 'yönlenedirmenin', 'daha', 'doğru', 've', 'isabetli', 'olacağını', 'düşünmekteyim', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['O', 'sıradan', 'kurulan', 'cümleler', 'gibi', 'değil', '.', 'Ben', 'seni', ',', 'başka', 'bir', 'alfabeyle', 'seviyorum', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Bisikletle', 'gezenlere', 'bakış', 'açısı', '(', 'olmayan', 'bir', 'kafayla', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Karnımın', 'acıkması', 'tamamen', 'psikolojik', '.', 's', '.', 's']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['AyrıAyrıDeğil', 'OmuzOmuza', 'FENERBAHÇE', 'AyrıAyrıDeğil', 'OmuzOmuza', 'FENERBAHÇE', 'AyrıAyrıDeğil', 'OmuzOmuza', 'FENERBAHÇE']	['O', 'O', 'B-ORGANIZATION', 'O', 'O', 'B-ORGANIZATION', 'O', 'O', 'B-ORGANIZATION']
['ceylan', 'ertem', 've', 'mabel', 'matiz', '.', '.']	['B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']
['Gözlerim', 'gözlerine', 'açılıyor', 'başka', 'manzara', 'istememki', 'ben', ';', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ben', 'istiyorum', 'ki', 'sabaha', 'kadar', 'seninle', 'saçmalayayım', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
